Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-07-02 22:27:39,2024-07-03 20:23:17,UTC-04:00,2024-07-02 22:27:39,2024-07-03 04:30:33,55,13.4,349,362,189,47,113,13,636,127,97,68,false
2024-07-01 23:11:29,2024-07-02 22:27:39,UTC-04:00,2024-07-01 23:11:29,2024-07-02 04:52:36,48,13.6,298,333,131,40,127,35,616,115,91,71,false
2024-07-01 00:17:02,2024-07-01 23:11:29,UTC-04:00,2024-07-01 00:17:02,2024-07-01 07:27:17,69,13.5,406,430,201,42,163,24,587,88,94,61,false
2024-06-29 22:17:42,2024-07-01 00:17:02,UTC-04:00,2024-06-29 22:17:42,2024-06-30 06:17:28,76,13.9,439,464,259,43,137,25,577,72,97,75,false
2024-06-28 21:01:14,2024-06-29 22:17:42,UTC-04:00,2024-06-28 21:01:14,2024-06-29 05:28:43,81,13.1,491,507,221,63,207,16,604,117,97,54,false
2024-06-27 22:56:05,2024-06-28 21:01:14,UTC-04:00,2024-06-27 22:56:05,2024-06-28 06:57:13,71,13.5,454,481,183,71,200,27,636,127,97,66,false
2024-06-26 23:01:13,2024-06-27 22:56:05,UTC-04:00,2024-06-26 23:01:13,2024-06-27 04:52:00,50,13.2,330,347,144,56,130,17,655,127,95,78,false
2024-06-26 01:19:37,2024-06-26 23:01:13,UTC-04:00,2024-06-26 01:19:37,2024-06-26 04:49:11,29,14.2,185,208,81,32,72,23,641,127,94,74,false
2024-06-24 23:54:58,2024-06-26 01:19:37,UTC-04:00,2024-06-24 23:54:58,2024-06-25 04:47:55,43,13.5,277,289,92,87,98,12,642,127,96,78,false
2024-06-23 23:04:46,2024-06-24 23:54:58,UTC-04:00,2024-06-23 23:04:46,2024-06-24 04:58:02,50,13.3,299,344,120,70,109,45,594,127,90,64,false
2024-06-23 01:10:35,2024-06-23 23:04:46,UTC-04:00,2024-06-23 01:10:35,2024-06-23 06:54:44,51,14.3,322,344,129,60,133,22,636,127,95,52,false
2024-06-21 22:27:31,2024-06-23 01:10:35,UTC-04:00,2024-06-21 22:27:31,2024-06-22 04:54:59,54,13.2,353,379,147,84,122,26,653,127,93,86,false
2024-06-20 23:52:12,2024-06-21 22:27:31,UTC-04:00,2024-06-20 23:52:12,2024-06-21 04:47:48,44,13.5,277,295,103,53,121,18,638,127,93,77,false
2024-06-19 21:50:14,2024-06-20 23:52:12,UTC-04:00,2024-06-19 21:50:14,2024-06-20 04:49:16,63,13.4,408,417,134,84,190,9,651,127,98,84,false
2024-06-18 21:57:17,2024-06-19 21:50:14,UTC-04:00,2024-06-18 21:57:17,2024-06-19 04:05:57,49,13.3,319,368,80,86,153,49,646,127,89,82,false
